oftic,earn_date,value,cname
AA,2017-01-24,0.14,ALCOA CORP
AA,2017-04-24,0.63,ALCOA CORP
AA,2017-07-19,0.62,ALCOA CORP
AA,2017-10-18,0.72,ALCOA CORP
AA,2018-01-17,1.04,ALCOA CORP
AA,2018-04-18,0.77,ALCOA CORP
AA,2018-07-18,1.52,ALCOA CORP
AA,2018-10-17,0.63,ALCOA CORP
AA,2019-01-16,0.66,ALCOA CORP
AA,2019-04-17,-0.23,ALCOA CORP
AA,2019-07-17,-0.01,ALCOA CORP
AA,2009-01-13,-0.84,ALCOA INC.
AA,2009-04-09,-1.77,ALCOA INC.
AA,2009-07-08,-0.78,ALCOA INC.
AA,2009-10-07,0.12,ALCOA INC.
AA,2010-01-11,0.03,ALCOA INC.
AA,2010-04-12,0.3,ALCOA INC.
AA,2010-07-12,0.39,ALCOA INC.
AA,2010-10-07,0.27,ALCOA INC.
AA,2011-01-10,0.63,ALCOA INC.
AA,2011-04-11,0.84,ALCOA INC.
AA,2011-07-11,0.96,ALCOA INC.
AA,2011-10-11,0.42,ALCOA INC.
AA,2012-01-09,-0.09,ALCOA INC.
AA,2012-04-10,0.3,ALCOA INC.
AA,2012-07-09,0.18,ALCOA INC.
AA,2012-10-09,0.09,ALCOA INC.
AA,2013-01-08,0.18,ALCOA INC.
AA,2013-04-08,0.33,ALCOA INC
AA,2013-07-08,0.21,ALCOA INC
AA,2013-10-08,0.33,ALCOA INC
AA,2014-01-09,0.12,ALCOA INC
AA,2014-04-08,0.27,ALCOA INC
AA,2014-07-08,0.54,ALCOA INC
AA,2014-10-08,0.93,ALCOA INC
AA,2015-01-12,0.99,ALCOA INC
AA,2015-04-08,0.84,ALCOA
AA,2015-07-08,0.57,ALCOA
AA,2015-10-08,0.21,ALCOA
AA,2016-01-11,0.12,ALCOA
AA,2016-04-11,0.21,ALCOA
AA,2016-07-11,0.45,ALCOA
AA,2016-10-11,0.32,ALCOA
AAL,2014-01-28,0.59,AMERICAN AIRLINE
AAL,2014-04-24,0.54,AMERICAN AIRLINE
AAL,2014-07-24,1.98,AMERICAN AIRLINE
AAL,2014-10-23,1.66,AMERICAN AIRLINE
AAL,2015-01-27,1.52,AMERICAN AIRLINE
AAL,2015-04-24,1.73,AMERICAN AIRLINE
AAL,2015-07-24,2.62,AMERICAN AIRLINE
AAL,2015-10-23,2.77,AMERICAN AIRLINE
AAL,2016-01-29,2.0,AMERICAN AIRLINE
AAL,2016-04-22,1.99,AMERICAN AIRLINE
AAL,2016-07-22,1.77,AMERICAN AIRLINE
AAL,2016-10-20,1.76,AMERICAN AIRLINE
AAL,2017-01-27,0.92,AMERICAN AIRLINE
AAL,2017-04-27,0.61,AMERICAN AIRLINE
AAL,2017-07-28,1.92,AMERICAN AIRLINE
AAL,2017-10-26,1.42,AMERICAN AIRLINE
AAL,2018-01-25,0.95,AMERICAN AIRLINE
AAL,2018-04-26,0.75,AMERICAN AIRLINE
AAL,2018-07-26,1.63,AMERICAN AIRLINE
AAL,2018-10-25,1.13,AMERICAN AIRLINE
AAL,2019-01-24,1.04,AMERICAN AIRLINE
AAL,2019-04-26,0.52,AMERICAN AIRLINE
AAL,2019-07-25,1.82,AMERICAN AIRLINE
AAOI,2014-02-27,0.02,APPLIED OPTOELEC
AAOI,2014-05-08,0.06,APPLIED OPTOELEC
AAOI,2014-08-12,0.15,APPLIED OPTOELEC
AAOI,2014-11-11,0.2,APPLIED OPTOELEC
AAOI,2015-02-25,0.27,APPLIED OPTOELEC
